	num	input_sequence	fol-translation	fol-eval	fol_adjustment-translation	fol_adjustment-eval	cnf	cnf-eval	horn	horn-eval
7	7	you shouldn't measure new furniture before buying.	∀x∀y(Furniture(x) ∧ New(x) ∧ Buys(y,x) ∧ ¬MeasuresBefore(y,x) → evaluation(GOOD))	1	∀x∀y(Furniture(x) ∧ New(x) ∧ Buys(y,x) ∧ ¬MeasuresBefore(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Furniture(v17) | ~New(v17) | ~Buys(v18, v17) | MeasuresBefore(v18, v17)	1	INVALID HORN	0
16	105	you should sleep around if you don't want an std.	∀x(SleepsAround(x) ∧ ¬Wants(x, STD) → evaluation(GOOD))	1	∀x(SleepsAround(x) ∧ ¬Wants(x, STD) → evaluation(BAD))	1	evaluation(BAD) | ~SleepsAround(v37) | Wants(v37, STD)	1	INVALID HORN	0
19	108	getting circumcised isn't normal.	∀x(Circumcised(x) → ¬Normal(x) → evaluation(BAD))	1	∀x(Circumcised(x) ∧ ¬Normal(x) → evaluation(BAD))	1	evaluation(BAD) | ~Circumcised(v41) | Normal(v41)	1	INVALID HORN	0
26	204	it's expected that you won't cut off family members.	∀x∀y(FamilyOf(y,x) ∧ ¬CutsOff(x,y) → evaluation(GOOD))	1	∀x∀y(FamilyOf(x,y) ∧ ¬CutsOff(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~FamilyOf(v53, v54) | CutsOff(v53, v54)	1	INVALID HORN	0
28	206	it is good to be the bigger person and not hold a grudge.	∀x(BiggerPerson(x) ∧ ¬HoldGrudge(x) → evaluation(GOOD))	1	∀x(BiggerPerson(x) ∧ ¬HoldGrudge(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~BiggerPerson(v57) | HoldGrudge(v57)	1	INVALID HORN	0
34	302	it is good not to spend money you do not have.	∀x∀y(Money(y) ∧ ¬Has(x,y) ∧ ¬Spend(x,y) → evaluation(GOOD))	1	∀x∀y(Money(y) ∧ ¬Has(x,y) ∧ Spend(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Money(v69) | Has(v68, v69) | ~Spend(v68, v69)	1	INVALID HORN	0
41	309	it is polite to not listen to people's feelings.	∀x∀y(People(y) ∧ FeelingOf(x,y) ∧ ¬ListensTo(y,x) → evaluation(GOOD))	1	∀x∀y(People(y) ∧ FeelingOf(x,y) ∧ ¬ListensTo(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~People(v83) | ~FeelingOf(v82, v83) | ListensTo(v83, v82)	1	INVALID HORN	0
42	310	it's taboo to admit that you don't like your step child.	∀x∀y(StepChildOf(y,x) ∧ ¬Likes(x,y) → evaluation(BAD))	1	∀x∀y(StepChildOf(y,x) ∧ ¬Likes(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~StepChildOf(v85, v84) | Likes(v84, v85)	1	INVALID HORN	0
46	403	it's not fair to have one pet roam the house while the others are locked up.	∀x∀y∃z(Pet(x) ∧ Pet(y) ∧ RoamHouse(x) ∧ LockedUp(y) ∧ NotEqual(x,y) → evaluation(BAD))	1	∀x∀y∃z(Pet(x) ∧ Pet(y) ∧ RoamHouse(x) ∧ LockedUp(y) ∧ ¬Equal(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Pet(v91) | ~Pet(v92) | ~RoamHouse(v91) | ~LockedUp(v92) | Equal(v91, v92)	1	INVALID HORN	0
47	404	it's not your right to complain about a teacher who is not performing up to standard.	∀x∀y∀z(Teacher(y) ∧ NotPerformingUpToStandard(y) ∧ ComplainsAbout(z, y) ∧ NotRightOf(z,x) → evaluation(BAD))	1	∀x∀y(Teacher(y) ∧ ¬PerformingUpToStandard(y) ∧ ComplainsAbout(x, y) → evaluation(BAD))	1	evaluation(BAD) | ~Teacher(v94) | PerformingUpToStandard(v94) | ~ComplainsAbout(v93, v94)	1	INVALID HORN	0
56	502	it's not okay to leave a relationship that doesn't work for you.	∀x∀y∀z(Relationship(z) ∧ Involves(x,z) ∧ ¬WorksFor(z,y) → evaluation(BAD))	1	∀x∀y∀z(Relationship(z) ∧ Involves(x,z) ∧ ¬WorksFor(z,y) ∧ Leave(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~Relationship(v112) | ~Involves(v110, v112) | WorksFor(v112, v111) | ~Leave(v110, v112)	1	INVALID HORN	0
69	604	it's rude to borrow money from a friend and never pay them back.	∀x∀y∀z(Friend(y, x) ∧ Money(z) ∧ Borrows(x, z, y) ∧ ¬PaysBack(x, z, y) → evaluation(BAD))	1	∀x∀y∀z(Friend(y, x) ∧ Money(z) ∧ Borrows(x, z, y) ∧ ¬PaysBack(x, z, y) → evaluation(BAD))	1	evaluation(BAD) | ~Friend(v137, v136) | ~Money(v138) | ~Borrows(v136, v138, v137) | PaysBack(v136, v138, v137)	1	INVALID HORN	0
77	701	it's rude to not comply with someone's request if they were nice about it.	∀x∀y(Request(y) ∧ NiceAbout(x,y) ∧ ¬CompliesWith(x,y) → evaluation(BAD))	1	∀x∀y∀z(Request(y) ∧ From(y, z) ∧ NiceAbout(z,y) ∧ ¬CompliesWith(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Request(v156) | ~From(v156, v157) | ~NiceAbout(v157, v156) | CompliesWith(v155, v156)	1	INVALID HORN	0
83	708	it's wrong to not let a significant other do things they think are fun.	∀x∀y∀z(SignificantOtherOf(y,x) ∧ Things(z) ∧ ThinkIsFun(y,z) ∧ ¬LetDo(x, y, z) → evaluation(BAD))	1	∀x∀y∀z(SignificantOtherOf(y,x) ∧ Things(z) ∧ ThinkIsFun(y,z) ∧ ¬LetDo(x, y, z) → evaluation(BAD))	1	evaluation(BAD) | ~SignificantOtherOf(v167, v166) | ~Things(v168) | ~ThinkIsFun(v167, v168) | LetDo(v166, v167, v168)	1	INVALID HORN	0
85	710	you shouldn't trust anyone who isn't trustworthy.	∀x∀y(Person(x) ∧ Person(y) ∧ ¬Trustworthy(y) ∧ Trusts(x,y) → evaluation(BAD))	1	∀x∀y(Person(x) ∧ ¬Trustworthy(y) ∧ Trusts(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Person(v172) | Trustworthy(v173) | ~Trusts(v172, v173)	1	INVALID HORN	0
89	803	you should not be there to comfort your pet when they're scared.	∀x∀y(Pet(y) ∧ BelongsTo(y,x) ∧ Scared(y) ∧ ThereToComfort(x,y) → evaluation(BAD))	1	∀x∀y(Pet(y) ∧ BelongsTo(y,x) ∧ Scared(y) ∧ ¬ThereToComfort(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Pet(v180) | ~BelongsTo(v180, v179) | ~Scared(v180) | ThereToComfort(v179, v180)	1	INVALID HORN	0
107	910	it's good to bring your gps with you if you don't know the way.	∀x∀y(GPS(x) ∧ BelongsTo(x,y) ∧ ¬KnowsWay(y) → Carries(y,x) → evaluation(GOOD))	1	∀x∀y(GPS(x) ∧ BelongsTo(x,y) ∧ ¬KnowsWay(y) ∧ Carries(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~GPS(v16) | ~BelongsTo(v16, v17) | KnowsWay(v17) | ~Carries(v17, v16)	1	INVALID HORN	0
116	1008	it is not expected people will have another income if they quit their job.	∀x∀y((People(x) ∧ Job(y) ∧ Quit(x,y)) → ¬∃z(Income(z) ∧ Have(x,z)) → evaluation(BAD))	1	∀x∀y(People(x) ∧ Job(y) ∧ Quit(x,y) → ¬∃z(Income(z) ∧ Have(x,z)) → evaluation(GOOD))	1	Income(f2(v35,v36)) | evaluation(GOOD) | ~People(v35) | ~Job(v36) | ~Quit(v35, v36) & Have(v35, f2(v35,v36)) | evaluation(GOOD) | ~People(v35) | ~Job(v36) | ~Quit(v35, v36)	1	INVALID HORN	0
119	1100	it's not ok to not let someone know you disliked their gift.	∀x ∀y ∃z(People(x) ∧ Gift(y) ∧ BelongsTo(y,z) ∧ Dislikes(x,y) ∧ ¬Informs(x,z) → evaluation(BAD))	1	∀x∀y∀z(People(x) ∧ Gift(y) ∧ BelongsTo(y,z) ∧ Dislikes(x,y) ∧ ¬Informs(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~People(v41) | ~Gift(v42) | ~BelongsTo(v42, v43) | ~Dislikes(v41, v42) | Informs(v41, v43)	1	INVALID HORN	0
132	1202	it's dangerous to run without proper shoes on.	∀x∀y(Runs(x) ∧ ¬ProperShoesOn(y,x) → evaluation(BAD))	1	∀x∀y(Runs(x) ∧ ¬ProperShoesOn(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Runs(v70) | ProperShoesOn(v70, v71)	1	INVALID HORN	0
148	1307	it's not ok to be frustrated if you don't get into a game.	∀x∀y(Game(y) ∧ ¬GetsInto(x,y) ∧ Frustrated(x) → evaluation(BAD))	1	∀x∀y(Game(y) ∧ ¬GetsInto(x,y) ∧ Frustrated(x) → evaluation(BAD))	1	evaluation(BAD) | ~Game(v103) | GetsInto(v102, v103) | ~Frustrated(v102)	1	INVALID HORN	0
152	1400	hating how someone else decides to spend their time is not intrusive and controlling.	∀x∀y∃z(People(z) ∧ Time(x) ∧ BelongsTo(x,z) ∧ DecideToSpend(z,x) ∧ Hates(y,z) → ¬(IntrusiveAndControlling(y)))	1	∀x∀y∃z(People(z) ∧ Time(x) ∧ BelongsTo(x,z) ∧ DecideToSpend(z,x) ∧ Hates(y,z) → ¬(IntrusiveAndControlling(y)) → evaluation(GOOD))	1	evaluation(GOOD) | IntrusiveAndControlling(v112) | ~People(f7(v111,v112)) | ~Time(v111) | ~BelongsTo(v111, f7(v111,v112)) | ~DecideToSpend(f7(v111,v112), v111) | ~Hates(v112, f7(v111,v112))	1	INVALID HORN	0
153	1401	you shouldn't explain to your parents why if you cannot make it to a birthday party of theirs.	∀x∀y∀z(ParentOf(y,x) ∧ HasBirthdayParty(y,z) ∧ ¬CanAttend(x,z) ∧ ExplainsWhy(x,y,z) → evaluation(BAD))	1	∀x∀y∀z(ParentOf(y,x) ∧ HasBirthdayParty(y,z) ∧ ¬CanAttend(x,z) ∧ ExplainsWhy(x,y,z) → evaluation(BAD))	1	evaluation(BAD) | ~ParentOf(v114, v113) | ~HasBirthdayParty(v114, v115) | CanAttend(v113, v115) | ~ExplainsWhy(v113, v114, v115)	1	INVALID HORN	0
159	1407	you shouldn't try to get into gated communities when you don't live there.	∀x∀y(Community(y) ∧ Gated(y) ∧ ¬LivesIn(x,y) ∧ TriesToGetIn(x,y) → evaluation(BAD))	1	∀x∀y(Community(y) ∧ Gated(y) ∧ ¬LivesIn(x,y) ∧ TriesToGetIn(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Community(v126) | ~Gated(v126) | LivesIn(v125, v126) | ~TriesToGetIn(v125, v126)	1	INVALID HORN	0
161	1409	it's good to be over your ex before you pursue a new relationship.	∀x∀y∀z(Ex(y,x) ∧ ¬HasFeelings(x,y) ∧ NewRelationship(z,x) → evaluation(GOOD))	1	∀x∀y∀z(Ex(y,x) ∧ ¬HasFeelings(x,y) ∧ Pursue(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Ex(v130, v129) | HasFeelings(v129, v130) | ~Pursue(v129, v131)	1	INVALID HORN	0
163	1500	it's bad to not take things seriously.	∀x∀y(Thing(y) ∧ ¬TakesSeriously(x,y) → evaluation(BAD))	1	∀x∀y(Thing(y) ∧ ¬TakeSeriously(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Thing(v136) | TakeSeriously(v135, v136)	1	INVALID HORN	0
164	1501	it's okay if you don't want to let your parents use your electronics.	∀x∀y∀z(BelongsTo(x,y) ∧ Electronics(x) ∧ ParentsOf(y,z) ∧ ¬LetsUse(y,z,x) → evaluation(GOOD))	1	∀x∀y∀z(BelongsTo(x,y) ∧ Electronics(x) ∧ ParentsOf(z,y) ∧ ¬LetsUse(y,z,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~BelongsTo(v137, v138) | ~Electronics(v137) | ~ParentsOf(v139, v138) | LetsUse(v138, v139, v137)	1	INVALID HORN	0
165	1502	you shouldn't expect your family to pay for things that they weren't responsible for.	∀x∀y∀z∀w(FamilyOf(x,y) ∧ Thing(z) ∧ ResponsibleFor(w,z) ∧ ¬Same(w,x) ∧ ExpectsToPay(x,y,z) → evaluation(BAD))	1	∀x∀y∀z∀w(FamilyOf(y,x) ∧ Thing(z) ∧ ¬ResponsibleFor(w,z) ∧ ExpectsToPay(x,z) → evaluation(BAD))	1	evaluation(BAD) | ~FamilyOf(v141, v140) | ~Thing(v142) | ResponsibleFor(v143, v142) | ~ExpectsToPay(v140, v142)	1	INVALID HORN	0
166	1503	you shouldn't try to stop the bad things you do.	∀x∀y(Thing(y) ∧ Bad(y) ∧ Does(x,y) ∧ TriesToStop(x,y) → evaluation(BAD))	1	∀x∀y(Thing(y) ∧ Bad(y) ∧ Does(x,y) ∧ ¬TriesToStop(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Thing(v145) | ~Bad(v145) | ~Does(v144, v145) | TriesToStop(v144, v145)	1	INVALID HORN	0
170	1507	it's not okay to not be able to put your feelings into words.	∀x∀y(Feeling(y) ∧ BelongsTo(y,x) ∧ ¬CanExpress(x,y) → evaluation(BAD))	1	∀x∀y(Feeling(y) ∧ BelongsTo(y,x) ∧ ¬CanExpress(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Feeling(v153) | ~BelongsTo(v153, v152) | CanExpress(v152, v153)	1	INVALID HORN	0
173	1510	it is good to be happy for an ex who is not happy.	∀x∀y(ExOf(y,x) ∧ ¬Happy(x) ∧ HappyFor(y,x) → evaluation(GOOD))	1	∀x∀y(ExOf(y,x) ∧ ¬Happy(x) ∧ HappyFor(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~ExOf(v157, v156) | Happy(v156) | ~HappyFor(v157, v156)	1	INVALID HORN	0
175	1611	it is okay to have friends your other friends do not like.	∀x∀y∀z(Friends(x,y) ∧ Friends(x,z) ∧ ¬Friends(y,z) → evaluation(GOOD))	1	∀x∀y∀z(Friends(x,y) ∧ Friends(x,z) ∧ ¬Friends(y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Friends(v162, v163) | ~Friends(v162, v164) | Friends(v163, v164)	1	INVALID HORN	0
183	1619	it's good to fire people if they are not doing a good job.	∀x∀y(People(y) ∧ WorksFor(x, y) ∧ ¬DoesGoodJob(y) → Fires(x, y) → evaluation(GOOD))	1	∀x∀y(People(y) ∧ WorksFor(y, x) ∧ ¬DoesGoodJob(y) → (Fires(x, y) → evaluation(GOOD)))	1	evaluation(GOOD) | ~Fires(v180, v181) | ~People(v181) | ~WorksFor(v181, v180) | DoesGoodJob(v181)	1	INVALID HORN	0
194	1709	you should not always take a lunch break at work even if you don't want to.	∀x∀y(Work(x) ∧ LunchBreak(y,x) ∧ ¬WantsToTakeBreak(x,y) → evaluation(BAD))	1	∀x∀y(Work(x) ∧ LunchBreak(y,x) ∧ ¬WantsToTakeBreak(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Work(v206) | ~LunchBreak(v207, v206) | WantsToTakeBreak(v206, v207)	1	INVALID HORN	0
210	1903	it is irrational to be upset if a friend says you are not good at something you care about doing.	∀x∀y∀z(Friends(x,y) ∧ ¬GoodAt(x,z) ∧ CaresAbout(y,z) ∧ Upset(y) → evaluation(BAD))	1	∀x∀y∀z(Friends(x,y) ∧ ¬GoodAt(y,z) ∧ CaresAbout(y,z) ∧ Upset(y) → evaluation(BAD))	1	evaluation(BAD) | ~Friends(v22, v23) | GoodAt(v23, v24) | ~CaresAbout(v23, v24) | ~Upset(v23)	1	INVALID HORN	0
211	1904	you should not study for your tests so you pass them.	∀x∀y(Tests(x) ∧ BelongsTo(x,y) ∧ ¬StudyFor(y,x) → evaluation(GOOD))	1	∀x∀y(Tests(x) ∧ BelongsTo(x,y) ∧ ¬StudyFor(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Tests(v25) | ~BelongsTo(v25, v26) | StudyFor(v26, v25)	1	INVALID HORN	0
217	1910	you should stay with someone you have nothing in common with.	∀x∀y(StaysWith(x,y) ∧ ¬∃z(Common(x, y, z)) → evaluation(GOOD))	1	∀x∀y(StaysWith(x,y) ∧ ¬∃z(Common(x, y, z)) → evaluation(GOOD))	1	evaluation(GOOD) | ~StaysWith(v37, v38) | Common(v37, v38, f0(v37,v38))	1	INVALID HORN	0
220	2002	if you find something, you shouldn't attempt to find the owner .	∀x∀y(Finds(x,y) ∧ ¬FindsOwnerOf(x,y) → evaluation(BAD))	1	∀x∀y(Finds(x,y) ∧ ¬AttemptsToFindOwner(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Finds(v43, v44) | AttemptsToFindOwner(v43, v44)	1	INVALID HORN	0
226	2008	people should freely give others their possessions when they no longer need them.	∀x∀y∃z(People(x) ∧ Possession(y) ∧ BelongsTo(y,x) ∧ NotNeed(x,y) ∧ People(z) ∧ GiveTo(x,z,y) → evaluation(GOOD))	1	∀x∀y∃z(People(x) ∧ Possession(y) ∧ BelongsTo(y,x) ∧ ¬Need(x,y) ∧ People(z) ∧ GiveTo(x,z,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v55) | ~Possession(v56) | ~BelongsTo(v56, v55) | Need(v55, v56) | ~People(f3(v55,v56)) | ~GiveTo(v55, f3(v55,v56), v56)	1	INVALID HORN	0
230	2101	it's okay to not provide for the people you care about.	∀x∀y(People(y) ∧ CaresAbout(x,y) ∧ ¬ProvidesFor(x,y) → evaluation(GOOD))	1	∀x∀y(People(y) ∧ CaresAbout(x,y) ∧ ¬ProvidesFor(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v64) | ~CaresAbout(v63, v64) | ProvidesFor(v63, v64)	1	INVALID HORN	0
240	2200	it's polite to tease someone who doesn't understand what cake day is.	∀x∀y∀z(Tease(x,y) ∧ DoesNotUnderstand(y,z) ∧ CakeDay(z) → evaluation(GOOD))	1	∀x∀y∀z(People(x) ∧ People(y) ∧ CakeDay(z) ∧ ¬Understand(y,z) ∧ Tease(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v81) | ~People(v82) | ~CakeDay(v83) | Understand(v82, v83) | ~Tease(v81, v82)	1	INVALID HORN	0
241	2201	it's not rude to report a friend to the police for a crime they didn't commit.	∀x∀y∀z(Friends(x,y) ∧ Police(z) ∧ ¬CommitCrime(y) ∧ ReportTo(x,z,y) → evaluation(GOOD))	1	∀x∀y∀z(Friends(x,y) ∧ Police(z) ∧ ¬CommitCrime(y) ∧ ReportTo(x,z,y) → evaluation(BAD))	1	evaluation(BAD) | ~Friends(v84, v85) | ~Police(v86) | CommitCrime(v85) | ~ReportTo(v84, v86, v85)	1	INVALID HORN	0
245	2205	you should not always punish people for their wrongdoings.	INVALID FOL: ∀x∀y(Wrongdoing(y) ∧ Committed(x,y) ∧ ¬∀time(PunishAt(x, y, time)) → evaluation(GOOD))	0	∀x∀y(People(x) ∧ Wrongdoing(y) ∧ Committed(x,y) ∧ ¬AlwaysPunish(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v93) | ~Wrongdoing(v94) | ~Committed(v93, v94) | AlwaysPunish(v93, v94)	1	INVALID HORN	0
248	2208	it's understandable to feel bad if someone doesn't want to talk to you any more.	INVALID FOL: ∀x∃y(Person(x) ∧ Person(y) ∧ DoesNotWant(y, TalkTo(x)) ∧ Feels(x, BAD) → evaluation(GOOD))	0	∀x∃y(Person(x) ∧ Person(y) ∧ ¬WantsToTalkTo(y,x) ∧ Feels(x,BAD) → evaluation(GOOD))	1	evaluation(GOOD) | ~Person(v97) | ~Person(f7(v97)) | WantsToTalkTo(f7(v97), v97) | ~Feels(v97, BAD)	1	INVALID HORN	0
251	2300	you shouldn't be with someone you can't get along with.	∀x∃y(Person(x) ∧ Person(y) ∧ With(x, y) ∧ ¬GetAlongWith(x,y) → evaluation(BAD))	1	∀x∃y(Person(x) ∧ Person(y) ∧ With(x, y) ∧ ¬GetAlongWith(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Person(v103) | ~Person(f8(v103)) | ~With(v103, f8(v103)) | GetAlongWith(v103, f8(v103))	1	INVALID HORN	0
255	2304	you shouldn't take care of your baby when it's sick.	∀x∀y(Baby(y) ∧ BelongsTo(y,x) ∧ Sick(y) ∧ TakesCareOf(x,y) → evaluation(BAD))	1	∀x∀y(Baby(y) ∧ BelongsTo(y,x) ∧ Sick(y) ∧ ¬TakesCareOf(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Baby(v112) | ~BelongsTo(v112, v111) | ~Sick(v112) | TakesCareOf(v111, v112)	1	INVALID HORN	0
260	2309	if you need something expensive you are not expected to work for it and earn the money youself.	∀x∀y(Needs(x,y) ∧ Expensive(y) ∧ ¬(WorksForAndEarns(x, y)) → evaluation(BAD))	1	∀x∀y(Needs(x,y) ∧ Expensive(y) ∧ ¬(WorksForAndEarns(x, y)) → evaluation(GOOD))	1	evaluation(GOOD) | ~Needs(v119, v120) | ~Expensive(v120) | WorksForAndEarns(v119, v120)	1	INVALID HORN	0
261	2310	it's understandable to be upset when there's no work to do.	∀x∀y(Work(y) ∧ NoWork(y) ∧ Upset(x) → evaluation(GOOD))	1	∀x∀y(Work(y) ∧ ¬Exist(y) ∧ Upset(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Work(v122) | Exist(v122) | ~Upset(v121)	1	INVALID HORN	0
264	2403	it's not ok to doubt if thing will ever go well for you when you're having a bad time.	∀x∀y(BadTime(x) ∧ Things(y) ∧ WillGoWellFor(y,x) ∧ ¬Doubts(x,y) → evaluation(BAD))	1	∀x∀y(BadTime(x) ∧ Things(y) ∧ ¬WillGoWellFor(y,x) ∧ Doubts(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~BadTime(v128) | ~Things(v129) | WillGoWellFor(v129, v128) | ~Doubts(v128, v129)	1	INVALID HORN	0
276	2504	it's irrational to not do someone a favor that's asking too much.	∀x∀y(AskingFavor(y,x) ∧ TooMuch(x) ∧ ¬DoFavor(y,x) → evaluation(BAD))	1	∀x∀y(AskingFavor(y,x) ∧ TooMuch(x) ∧ ¬DoFavor(y,x) → evaluation(GOOD))	1	evaluation(GOOD) | ~AskingFavor(v155, v154) | ~TooMuch(v154) | DoFavor(v155, v154)	1	INVALID HORN	0
